,,תקשורת אמביוולנטית חרדה,תקשורת בטוחה,תקשורת נמנעת
BAOS_1,mean,2.774193548387097,2.775,2.413793103448276
BAOS_1,std,1.1462890100771512,1.1872722453655626,0.9070061182385528
BAOS_1,count,31.0,40.0,29.0
BAOS_2,mean,2.7419354838709675,2.375,2.7241379310344827
BAOS_2,std,1.1537689524765886,1.1251780485885958,1.1306304096178863
BAOS_2,count,31.0,40.0,29.0
BAOS_3,mean,2.838709677419355,2.425,2.5172413793103448
BAOS_3,std,1.0676071123014117,1.0833826418758743,1.1218826541377545
BAOS_3,count,31.0,40.0,29.0
BAOS_4,mean,2.5483870967741935,2.675,2.2758620689655173
BAOS_4,std,1.120675679442819,1.0951524890895215,1.1921334933680254
BAOS_4,count,31.0,40.0,29.0
BAOS_5,mean,2.225806451612903,2.525,2.5172413793103448
BAOS_5,std,1.1462890100771514,1.2605961145833204,1.2136335542250334
BAOS_5,count,31.0,40.0,29.0
BAOS_6,mean,2.3870967741935485,2.5,2.2413793103448274
BAOS_6,std,1.0855849223602518,1.1322770341445958,1.327058304613013
BAOS_6,count,31.0,40.0,29.0
BAOS_7,mean,2.4516129032258065,2.425,2.6551724137931036
BAOS_7,std,1.1206756794428188,1.129726538274662,1.1108510916334606
BAOS_7,count,31.0,40.0,29.0
BAOS_8,mean,2.193548387096774,2.65,2.2413793103448274
BAOS_8,std,0.9804541409880654,1.1220402662000855,1.1848801149059374
BAOS_8,count,31.0,40.0,29.0
