,,תקשורת אמביוולנטית חרדה,תקשורת בטוחה,תקשורת נמנעת
BSAS_1,mean,2.5161290322580645,2.725,2.1379310344827585
BSAS_1,std,1.2348000578213862,1.085746818483091,1.1564767285359963
BSAS_1,count,31.0,40.0,29.0
BSAS_2,mean,2.5161290322580645,2.375,2.2413793103448274
BSAS_2,std,1.060533442563552,1.1477402547212903,1.214647874129815
BSAS_2,count,31.0,40.0,29.0
BSAS_3,mean,2.5483870967741935,2.55,2.413793103448276
BSAS_3,std,1.0595190631419946,1.2800240382358208,1.1500696059465998
BSAS_3,count,31.0,40.0,29.0
BSAS_4,mean,2.4838709677419355,2.25,2.6551724137931036
BSAS_4,std,1.121634751658949,1.1036071393157612,1.1425492196014235
BSAS_4,count,31.0,40.0,29.0
BSAS_5,mean,2.5161290322580645,2.325,2.6551724137931036
BSAS_5,std,1.17957528350774,0.997111212067525,1.142549219601424
BSAS_5,count,31.0,40.0,29.0
BSAS_6,mean,2.6129032258064515,2.55,2.1724137931034484
BSAS_6,std,1.0223313016447166,1.153589715093382,0.9661767627850572
BSAS_6,count,31.0,40.0,29.0
BSAS_7,mean,2.4516129032258065,2.45,2.5172413793103448
BSAS_7,std,1.1786633581425856,1.153589715093382,1.0895834608815431
BSAS_7,count,31.0,40.0,29.0
BSAS_8,mean,2.3225806451612905,2.425,2.206896551724138
BSAS_8,std,0.8712862818535803,1.195879678365765,1.0134562625289327
BSAS_8,count,31.0,40.0,29.0
BSAS_9,mean,2.096774193548387,2.4,2.5172413793103448
BSAS_9,std,1.1648988141945325,1.1277388313766943,1.2711268806842337
BSAS_9,count,31.0,40.0,29.0
BSAS_10,mean,2.806451612903226,2.425,2.3793103448275863
BSAS_10,std,1.0776318121606492,1.129726538274662,1.146852621726345
BSAS_10,count,31.0,40.0,29.0
BSAS_11,mean,2.6451612903225805,2.6,2.5172413793103448
BSAS_11,std,1.0503455652553653,1.1723305738395524,1.1532776166577343
BSAS_11,count,31.0,40.0,29.0
BSAS_12,mean,2.935483870967742,2.6,2.1724137931034484
BSAS_12,std,1.030711206593704,1.0573309405993554,1.0713464664764276
BSAS_12,count,31.0,40.0,29.0
